iter	Passed	Remaining
399	89485	134227
400	89659	133929
401	89839	133642
402	90030	133370
403	90352	133292
404	90653	133182
405	90954	133071
406	91226	132916
407	91438	132675
408	91643	132423
409	91833	132150
410	92001	131846
411	92189	131571
412	92386	131309
413	92569	131028
414	92741	130731
415	92947	130483
416	93114	130181
417	93319	129933
418	93502	129654
419	93688	129378
420	93850	129072
421	94052	128821
422	94232	128539
423	94403	128246
424	94569	127946
425	94727	127637
426	94890	127335
427	95073	127060
428	95257	126788
429	95410	126474
430	95577	126180
431	95763	125911
432	95935	125623
433	96115	125349
434	96281	125055
435	96454	124771
436	96621	124480
437	96802	124208
438	96985	123937
439	97149	123645
440	97323	123364
441	97495	123082
442	97678	122815
443	97884	122575
444	98052	122290
445	98233	122021
446	98480	121833
447	98813	121752
448	99086	121595
449	99349	121427
450	99558	121192
451	99828	121031
452	100141	120921
453	100431	120783
454	100782	120717
455	101092	120601
456	101346	120418
457	101550	120175
458	101753	119932
459	101935	119663
460	102137	119418
461	102323	119156
462	102513	118898
463	102689	118624
464	102868	118354
465	103039	118075
466	103209	117796
467	103376	117513
468	103552	117242
469	103733	116976
470	103903	116698
471	104087	116437
472	104286	116192
473	104447	115905
474	104626	115639
475	104793	115361
476	104948	115068
477	105135	114813
478	105326	114562
479	105507	114299
480	105678	114027
481	105858	113764
482	106046	113510
483	106233	113257
484	106440	113024
485	106606	112748
486	106800	112502
487	106998	112261
488	107182	112004
489	107362	111745
490	107543	111486
491	107701	111204
492	107989	111056
493	108266	110896
494	108511	110703
495	108818	110573
496	109112	110430
497	109417	110296
498	109719	110159
499	109971	109971
500	110219	109779
501	110408	109528
502	110565	109246
503	110769	109011
504	110946	108749
505	111141	108506
506	111337	108262
507	111532	108019
508	111720	107769
509	111899	107511
510	112079	107254
511	112248	106986
512	112418	106720
513	112613	106479
514	112767	106198
515	112927	105923
516	113110	105672
517	113281	105409
518	113449	105142
519	113626	104885
520	113815	104640
521	114008	104398
522	114195	104151
523	114366	103889
524	114535	103627
525	114700	103360
526	114887	103115
527	115074	102869
528	115251	102615
529	115436	102368
530	115614	102115
531	115777	101849
532	115957	101598
533	116161	101369
534	116346	101123
535	116524	100871
536	116691	100611
537	116870	100360
538	117034	100097
539	117222	99856
540	117393	99600
541	117603	99376
542	117775	99121
543	117965	98883
544	118158	98646
545	118368	98423
546	118535	98165
547	118704	97909
548	118878	97658
549	119052	97406
550	119254	97178
551	119430	96928
552	119607	96680
553	119791	96438
554	119970	96192
555	120129	95930
556	120312	95688
557	120518	95464
558	120698	95220
559	120889	94984
560	121088	94755
561	121283	94523
562	121471	94285
563	121669	94056
564	121851	93814
565	122031	93571
566	122215	93332
567	122461	93139
568	122778	93001
569	123072	92844
570	123374	92693
571	123731	92582
572	124094	92475
573	124429	92346
574	124674	92151
575	124888	91932
576	125086	91701
577	125275	91464
578	125464	91227
579	125648	90986
580	125820	90737
581	126020	90509
582	126205	90270
583	126380	90024
584	126604	89813
585	126937	89679
586	127241	89524
587	127557	89377
588	127755	89146
589	128092	89013
590	128403	88861
591	128707	88703
592	128919	88482
593	129114	88249
594	129295	88008
595	129655	87887
596	129992	87750
597	130292	87588
598	130514	87373
599	130707	87138
600	130904	86906
601	131081	86661
602	131276	86429
603	131478	86201
604	131656	85957
605	131850	85724
606	132029	85481
607	132205	85237
608	132396	85003
609	132576	84762
610	132771	84530
611	132961	84295
612	133250	84123
613	133577	83975
614	133900	83823
615	134198	83655
616	134429	83446
617	134608	83204
618	134800	82971
619	135001	82742
620	135192	82508
621	135363	82262
622	135542	82021
623	135713	81776
624	135916	81549
625	136106	81316
626	136296	81082
627	136481	80845
628	136645	80597
629	136830	80361
630	137028	80132
631	137187	79881
632	137372	79645
633	137532	79396
634	137800	79208
635	138111	79045
636	138444	78894
637	138749	78726
638	139058	78560
639	139383	78403
640	139584	78176
641	139771	77941
642	139952	77703
643	140163	77481
644	140491	77324
645	140885	77203
646	141219	77048
647	141533	76882
648	141862	76723
649	142214	76576
650	142535	76412
651	142882	76262
652	143251	76122
653	143619	75982
654	143925	75808
655	144251	75643
656	144594	75488
657	144956	75342
658	145330	75201
659	145682	75048
660	146052	74904
661	146413	74754
662	146754	74594
663	147114	74443
664	147344	74226
665	147541	73992
666	147755	73767
667	147956	73535
668	148137	73293
669	148320	73053
670	148484	72803
671	148671	72565
672	148852	72325
673	149045	72090
674	149345	71907
675	149679	71740
676	149991	71561
677	150227	71346
678	150413	71108
679	150582	70862
680	150772	70626
681	150954	70386
682	151152	70154
683	151329	69912
684	151511	69673
685	151689	69432
686	151881	69197
687	152072	68963
688	152268	68730
689	152446	68490
690	152684	68277
691	153015	68104
692	153346	67932
